maneuver,maneuver_type,scenario,spring_scale,damper_scale,collisions,mean_speed_tail,mean_abs_roll_tail,mean_abs_pitch_tail,mean_abs_yaw_rate_tail,mean_abs_lateral_acc_tail,peak_abs_roll,peak_abs_pitch,peak_abs_yaw_rate,peak_abs_lateral_acc,rms_roll,rms_pitch,rms_yaw_rate,rms_lateral_acc,final_position_diff,max_position_diff,rms_position_diff,max_speed_diff,rms_speed_diff,max_roll_diff,rms_roll_diff,max_pitch_diff,rms_pitch_diff,max_yaw_rate_diff,rms_yaw_rate_diff,max_lateral_acc_diff,rms_lateral_acc_diff
circle_steer_0.30,circle,D4_damper_c1p10,1.0,1.1,0,0.6482412759194325,0.01868878821663272,0.0018690417597938974,4.481027316588622,0.3243909821531201,0.10311887413263321,0.1667453944683075,5.3188323974609375,1.0516324064685405,0.024286861522387553,0.024664778397750418,4.216994847362672,0.31982395634741967,0.4906016415081031,0.4906016415081031,0.25485476922988354,0.09877383708953713,0.04530689013234796,0.012329104356467724,0.004520881609597879,0.013025172054767609,0.003888090144622174,2.009777545928955,0.7141141587757083,0.7793186701396522,0.6144632343810167
circle_steer_0.30,circle,D5_damper_c1p20,1.0,1.2,0,0.6815907312433763,0.02059848361218778,0.001045215909331231,4.690891612034577,0.3200147491038027,0.0947265625,0.15118622779846191,5.411374092102051,1.0170145079676498,0.02563537639976726,0.024351966594569327,4.42083879318905,0.3138275476165575,0.8654950766346935,0.8654950766346935,0.45796051377345576,0.1869141459465018,0.07681939994729478,0.019653335213661194,0.005524004963286003,0.02885754406452179,0.0050635333541101295,1.4346871376037598,0.6127476053632425,0.2266622713155104,0.05048073890283803
sine_steer_A0.20_T4.00,sine,D0_stock,,,0,0.9414952255928798,0.04448274588600422,0.0011980720340943663,2.8046252645552157,0.18623769439418653,0.07117175310850143,0.1783703863620758,4.561441898345947,0.6674536153458407,0.045897725309361426,0.025785701570224123,2.8283653974755314,0.20206932593433077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sine_steer_A0.20_T4.00,sine,D1_damper_c0p80,1.0,0.8,0,0.7947015403686571,0.03798159362753116,0.0007924157379117484,2.470515990133087,0.10836548791041964,0.0845031589269638,0.20874422788619995,4.856688499450684,0.5920697726077281,0.04232994642931341,0.034638671496498484,2.683063653663919,0.12546061140862183,1.4876015698476266,1.4876015698476266,0.7111542252452498,0.361370675874978,0.1253156455604881,0.0845031589269638,0.013263851286616335,0.10858634114265442,0.01641782792218433,2.1743342876434326,1.2478964425912087,0.34890822790021453,0.15078254841314406
sine_steer_A0.20_T4.00,sine,D2_damper_c0p90,1.0,0.9,0,0.8904320478323624,0.04260365591617301,0.0011928924702563866,2.655783312333127,0.18323424014870693,0.06845411658287048,0.1932397037744522,4.325677871704102,0.6086999394809509,0.044403386792070086,0.02715503646922924,2.679245488475502,0.19926696131066035,0.6400755042436392,0.6400755042436392,0.3401350904969586,0.11073541641235307,0.04821501779122313,0.016357421875,0.0041079522279419,0.026678726077079773,0.005025802765379634,1.0172184705734253,0.33621096111435017,0.4524095454032272,0.2907193907701479
sine_steer_A0.20_T4.00,sine,D3_identity_c1p00,1.0,1.0,0,0.9414952255928798,0.04448274588600422,0.0011980720340943663,2.8046252645552157,0.18623769439418653,0.07117175310850143,0.1783703863620758,4.561441898345947,0.6674536153458407,0.045897725309361426,0.025785701570224123,2.8283653974755314,0.20206932593433077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sine_steer_A0.20_T4.00,sine,D4_damper_c1p10,1.0,1.1,0,0.9562862057408842,0.04389628407273752,0.0011565217123764644,2.8073040316191813,0.1308006160425727,0.06943067163228989,0.1800096184015274,4.424278736114502,0.6855011914474832,0.04586678452113727,0.026628396318843867,2.861922544023136,0.14595956001712732,0.3873164282101933,0.3873164282101933,0.2631551073462218,0.09877383708953846,0.034041169609640626,0.005617789924144745,0.0023396004305927553,0.010976114310324192,0.0021596301792524033,1.570812463760376,0.20018402894815163,0.24969804189172076,0.14399090258629654
sine_steer_A0.20_T4.00,sine,D5_damper_c1p20,1.0,1.2,0,1.0045111225146555,0.04535387105558281,0.0010373918386903825,3.0223205141878378,0.13827798323119758,0.07133793085813522,0.17055664956569672,5.718224048614502,0.7258297351487332,0.04724035749412619,0.026414531939262232,3.193848537335396,0.15416558439215428,1.0093877727386507,1.0093877727386507,0.594884468180634,0.1869141459465039,0.07494628418155305,0.00956106185913086,0.004882650837619885,0.017512603662908077,0.003482798457557556,2.0660685300827026,1.1347763617021929,0.2799543874400161,0.1457765929320823
brake_in_turn_steer_0.20,brake_in_turn,D0_stock,,,0,4.378538030024801e-06,0.00017292711292308618,0.0003733836535199468,2.8752033895991643e-06,6.280186921946236e-06,0.08929789811372757,0.2582426071166992,5.292200565338135,2.0492968737106088,0.023533525871426625,0.04850117276214449,2.5057048522274976,0.15340716944961513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brake_in_turn_steer_0.20,brake_in_turn,D1_damper_c0p80,1.0,0.8,0,1.4911739051997809e-06,0.00010087027483981122,0.0001263584930105329,5.398862467275468e-07,3.2649779356444627e-06,0.10210558772087097,0.27081015706062317,3.9926986694335938,1.7291640298296693,0.02485316325745044,0.049830524044679636,2.1380731887234954,0.19069138933710744,0.5108911485685423,0.510966637243948,0.4101905736743031,0.3612906950044718,0.07692806564119463,0.0852355882525444,0.012344756125791638,0.10851804167032242,0.01646087794104732,1.7210075855255127,0.6594481667589507,0.32013284388093943,0.14746669067930424
brake_in_turn_steer_0.20,brake_in_turn,D2_damper_c0p90,1.0,0.9,0,2.1424896397692165e-06,9.708283603989305e-05,0.00016641470392642077,1.330973536638148e-06,4.612274790959898e-06,0.09709274768829346,0.2683103084564209,4.325263500213623,2.0955994206564625,0.023639514673130003,0.049643592064393074,2.340411560444966,0.20537347540040823,0.19737064662919715,0.1974126338125268,0.15832029511738444,0.1282780978232213,0.03282413036817183,0.016387939453125,0.0033699231229141167,0.02626889944076538,0.006086958778079063,2.037123441696167,0.868935046665132,0.42877111299694565,0.13646151757625358
brake_in_turn_steer_0.20,brake_in_turn,D3_identity_c1p00,1.0,1.0,0,4.378538030024801e-06,0.00017292711292308618,0.0003733836535199468,2.8752033895991643e-06,6.280186921946236e-06,0.08929789811372757,0.2582426071166992,5.292200565338135,2.0492968737106088,0.023533525871426625,0.04850117276214449,2.5057048522274976,0.15340716944961513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brake_in_turn_steer_0.20,brake_in_turn,D4_damper_c1p10,1.0,1.1,0,5.511215976712988e-06,0.0002542396038431131,0.0005710322426845474,3.6378878200230666e-06,9.984920509333676e-06,0.08535238355398178,0.2538166344165802,5.495224952697754,2.1555423671442098,0.024019580297168712,0.04807882892461396,2.621273012379423,0.161030101703212,0.1829976777231589,0.18303922374701062,0.14259123535716375,0.09877383708953702,0.028274827287016302,0.009862735867500305,0.002003194479063883,0.015825539827346802,0.003268589421809562,2.758286476135254,1.461942155858045,0.10624549343360101,0.030777273462176333
brake_in_turn_steer_0.20,brake_in_turn,D5_damper_c1p20,1.0,1.2,0,7.972925543877527e-06,0.00032747135374696273,0.0008439552108635932,5.473235064609322e-06,1.1955071459470309e-05,0.08185616880655289,0.2540898621082306,4.880619049072266,2.2599219555831107,0.024978930069250043,0.048614830528268115,2.6639627357715248,0.2108221716372295,0.3437429078568674,0.34378503798031307,0.26392960921377323,0.18691414594650202,0.054186831785593206,0.010674424469470978,0.003840610630560413,0.02783985435962677,0.005215237420298452,2.203744649887085,0.6970852827485333,0.29768794655894654,0.13688902489315605
